Entity_ID:ID,Entity_Name,:Label,CreateTimeStamp,EFFDT,TERMDT,HashKey,Version,Status,Entity_Type,Entity_Parent_Name,Entity_Parent_Type,coordinate,Snipets
3ALPATRST0K36PBGG58Q9RTE3R,*,Column,20230801172336,20230801172336,99991231000000,3ALPATRST0K36PBGG58Q9RTE3R,1,I,Column,RS-2,Select_list,`[{"hashCode":"0","x":6,"y":12},{"hashCode":"0","x":6,"y":13}]`,`    select * from analytics.DBT_GGITHIRI.fct_orders`
7KP7S7RERMVESN72PE4LSRTITK,AMOUNT,Column,20230801172336,20230801172336,99991231000000,7KP7S7RERMVESN72PE4LSRTITK,1,I,Column,RS-2,Select_list,`[{"hashCode":"0","x":6,"y":12},{"hashCode":"0","x":6,"y":13}]`,`    select * from analytics.DBT_GGITHIRI.fct_orders`
6O7HU25H2DPOO9QHPQ29MKTRJI,CUSTOMER_ID,Column,20230801172336,20230801172336,99991231000000,6O7HU25H2DPOO9QHPQ29MKTRJI,1,I,Column,RS-2,Select_list,`[{"hashCode":"0","x":6,"y":12},{"hashCode":"0","x":6,"y":13}]`,`    select * from analytics.DBT_GGITHIRI.fct_orders`
2EDQKDOISGUPV0M70GSBB5NN8D,ORDER_DATE,Column,20230801172336,20230801172336,99991231000000,2EDQKDOISGUPV0M70GSBB5NN8D,1,I,Column,RS-2,Select_list,`[{"hashCode":"0","x":6,"y":12},{"hashCode":"0","x":6,"y":13}]`,`    select * from analytics.DBT_GGITHIRI.fct_orders`
1H180C02MFV0D5HQL2PMHRTU6C,ORDER_ID,Column,20230801172336,20230801172336,99991231000000,1H180C02MFV0D5HQL2PMHRTU6C,1,I,Column,RS-2,Select_list,`[{"hashCode":"0","x":6,"y":12},{"hashCode":"0","x":6,"y":13}]`,`    select * from analytics.DBT_GGITHIRI.fct_orders`
3UAM8OMQSRDT9F1G1KT3RP2E32,customer_id,Column,20230801172336,20230801172336,99991231000000,3UAM8OMQSRDT9F1G1KT3RP2E32,1,I,Column,RS-3,Select_list,`[{"hashCode":"0","x":11,"y":9},{"hashCode":"0","x":11,"y":20}]`,`        customer_id,`
1439MER1T46D8PMIFV1BEL5QRT,first_order_date,Column,20230801172336,20230801172336,99991231000000,1439MER1T46D8PMIFV1BEL5QRT,1,I,Column,RS-3,Select_list,`[{"hashCode":"0","x":12,"y":9},{"hashCode":"0","x":12,"y":44}]`,`        min(order_date) as first_order_date,`
5H9P60FHL939QHFHPVFS18737Q,lifetime_value,Column,20230801172336,20230801172336,99991231000000,5H9P60FHL939QHFHPVFS18737Q,1,I,Column,RS-3,Select_list,`[{"hashCode":"0","x":15,"y":9},{"hashCode":"0","x":15,"y":38}]`,`        sum(amount) as lifetime_value`
2II6SU5CJV250O7N2ABSAN5COL,most_recent_order_date,Column,20230801172336,20230801172336,99991231000000,2II6SU5CJV250O7N2ABSAN5COL,1,I,Column,RS-3,Select_list,`[{"hashCode":"0","x":13,"y":9},{"hashCode":"0","x":13,"y":50}]`,`        max(order_date) as most_recent_order_date,`
2OIMPDT2DRK6IFLHHJ7V1BQ7MC,number_of_orders,Column,20230801172336,20230801172336,99991231000000,2OIMPDT2DRK6IFLHHJ7V1BQ7MC,1,I,Column,RS-3,Select_list,`[{"hashCode":"0","x":14,"y":9},{"hashCode":"0","x":14,"y":44}]`,`        count(order_id) as number_of_orders,`
2Q21FA342TSSSK7M0A4H7HMRCE,RelationRows,Column,20230801172336,20230801172336,99991231000000,2Q21FA342TSSSK7M0A4H7HMRCE,1,I,Column,RS-4,Select_list,`[{"hashCode":"0","x":22,"y":9},{"hashCode":"0","x":28,"y":74}]`,`        customers.customer_id,`
581QCL109IFN4KCQ9OH7P323B5,customer_id,Column,20230801172336,20230801172336,99991231000000,581QCL109IFN4KCQ9OH7P323B5,1,I,Column,RS-4,Select_list,`[{"hashCode":"0","x":22,"y":9},{"hashCode":"0","x":22,"y":30}]`,`        customers.customer_id,`
2QSRGB8VUJ8GND57UDBI6IAEU8,first_name,Column,20230801172336,20230801172336,99991231000000,2QSRGB8VUJ8GND57UDBI6IAEU8,1,I,Column,RS-4,Select_list,`[{"hashCode":"0","x":23,"y":9},{"hashCode":"0","x":23,"y":29}]`,`        customers.first_name,`
5ILJKO7CQG5VS9A8H5UOH3B9BO,first_order_date,Column,20230801172336,20230801172336,99991231000000,5ILJKO7CQG5VS9A8H5UOH3B9BO,1,I,Column,RS-4,Select_list,`[{"hashCode":"0","x":25,"y":9},{"hashCode":"0","x":25,"y":41}]`,`        customer_orders.first_order_date,`
1TM0OVFGCD0UMO55G21UBO6C5,last_name,Column,20230801172336,20230801172336,99991231000000,1TM0OVFGCD0UMO55G21UBO6C5,1,I,Column,RS-4,Select_list,`[{"hashCode":"0","x":24,"y":9},{"hashCode":"0","x":24,"y":28}]`,`        customers.last_name,`
46DNQ90HA6RA9650E1US872SQE,lifetime_value,Column,20230801172336,20230801172336,99991231000000,46DNQ90HA6RA9650E1US872SQE,1,I,Column,RS-4,Select_list,`[{"hashCode":"0","x":27,"y":9},{"hashCode":"0","x":27,"y":39}]`,`        customer_orders.lifetime_value,`
3S3PO94PE191K4H3N0D0HF7H9G,most_recent_order_date,Column,20230801172336,20230801172336,99991231000000,3S3PO94PE191K4H3N0D0HF7H9G,1,I,Column,RS-4,Select_list,`[{"hashCode":"0","x":26,"y":9},{"hashCode":"0","x":26,"y":47}]`,`        customer_orders.most_recent_order_date,`
543LVS9P6P1ORC2JVGNBS1P54A,number_of_orders,Column,20230801172336,20230801172336,99991231000000,543LVS9P6P1ORC2JVGNBS1P54A,1,I,Column,RS-4,Select_list,`[{"hashCode":"0","x":28,"y":9},{"hashCode":"0","x":28,"y":74}]`,`        coalesce(customer_orders.number_of_orders, 0) as number_of_orders`
