Entity_ID:ID,Entity_Name,:Label,CreateTimeStamp,EFFDT,TERMDT,HashKey,Version,Status,name,resource_type,unique_id,package_name,root_path,path,original_file_path,description,meta,docs,patch_path,created_at
`2OPHFS5ISSSL3H41M8BH0SGD2U`,`snowflake__get_delete_insert_merge_sql`,`Macro`,`2023-08-01-17-23-18`,`2023-08-01-17-23-18`,`99991231000000`,`2OPHFS5ISSSL3H41M8BH0SGD2U`,`1`,`I`,`snowflake__get_delete_insert_merge_sql`,`macro`,`macro.dbt_snowflake.snowflake__get_delete_insert_merge_sql`,`dbt_snowflake`,`C:\\Users\\LENOVO\\Desktop\\coalesce\\building-dbt-coalasce\\dbt-output\\env-dbt\\lib\\site-packages\\dbt\\include\\snowflake`,`macros\\materializations\\merge.sql`,`macros\\materializations\\merge.sql`,``,`"{}"`,`"{"show":true}"`,``,`1688629732.5052454`
`HDFED1ULNFQ5C45KCGEM1AF3S`,`snowflake__snapshot_merge_sql`,`Macro`,`2023-08-01-17-23-18`,`2023-08-01-17-23-18`,`99991231000000`,`HDFED1ULNFQ5C45KCGEM1AF3S`,`1`,`I`,`snowflake__snapshot_merge_sql`,`macro`,`macro.dbt_snowflake.snowflake__snapshot_merge_sql`,`dbt_snowflake`,`C:\\Users\\LENOVO\\Desktop\\coalesce\\building-dbt-coalasce\\dbt-output\\env-dbt\\lib\\site-packages\\dbt\\include\\snowflake`,`macros\\materializations\\merge.sql`,`macros\\materializations\\merge.sql`,``,`"{}"`,`"{"show":true}"`,``,`1688629732.5052454`
`4HMD3MB9634HOI9KQ2LP75B4CB`,`snowflake__load_csv_rows`,`Macro`,`2023-08-01-17-23-18`,`2023-08-01-17-23-18`,`99991231000000`,`4HMD3MB9634HOI9KQ2LP75B4CB`,`1`,`I`,`snowflake__load_csv_rows`,`macro`,`macro.dbt_snowflake.snowflake__load_csv_rows`,`dbt_snowflake`,`C:\\Users\\LENOVO\\Desktop\\coalesce\\building-dbt-coalasce\\dbt-output\\env-dbt\\lib\\site-packages\\dbt\\include\\snowflake`,`macros\\materializations\\seed.sql`,`macros\\materializations\\seed.sql`,``,`"{}"`,`"{"show":true}"`,``,`1688629732.5052454`
`4JT6GD4APLN6FMH94GJ2ODHK4V`,`materialization_seed_snowflake`,`Macro`,`2023-08-01-17-23-18`,`2023-08-01-17-23-18`,`99991231000000`,`4JT6GD4APLN6FMH94GJ2ODHK4V`,`1`,`I`,`materialization_seed_snowflake`,`macro`,`macro.dbt_snowflake.materialization_seed_snowflake`,`dbt_snowflake`,`C:\\Users\\LENOVO\\Desktop\\coalesce\\building-dbt-coalasce\\dbt-output\\env-dbt\\lib\\site-packages\\dbt\\include\\snowflake`,`macros\\materializations\\seed.sql`,`macros\\materializations\\seed.sql`,``,`"{}"`,`"{"show":true}"`,``,`1688629732.5052454`
`6R285JMKJGCIFRU947BU7NE2SF`,`materialization_snapshot_snowflake`,`Macro`,`2023-08-01-17-23-18`,`2023-08-01-17-23-18`,`99991231000000`,`6R285JMKJGCIFRU947BU7NE2SF`,`1`,`I`,`materialization_snapshot_snowflake`,`macro`,`macro.dbt_snowflake.materialization_snapshot_snowflake`,`dbt_snowflake`,`C:\\Users\\LENOVO\\Desktop\\coalesce\\building-dbt-coalasce\\dbt-output\\env-dbt\\lib\\site-packages\\dbt\\include\\snowflake`,`macros\\materializations\\snapshot.sql`,`macros\\materializations\\snapshot.sql`,``,`"{}"`,`"{"show":true}"`,``,`1688629732.5052454`
`2EG5NKRAQLCTCRVJ060MFCESR5`,`materialization_table_snowflake`,`Macro`,`2023-08-01-17-23-18`,`2023-08-01-17-23-18`,`99991231000000`,`2EG5NKRAQLCTCRVJ060MFCESR5`,`1`,`I`,`materialization_table_snowflake`,`macro`,`macro.dbt_snowflake.materialization_table_snowflake`,`dbt_snowflake`,`C:\\Users\\LENOVO\\Desktop\\coalesce\\building-dbt-coalasce\\dbt-output\\env-dbt\\lib\\site-packages\\dbt\\include\\snowflake`,`macros\\materializations\\table.sql`,`macros\\materializations\\table.sql`,``,`"{}"`,`"{"show":true}"`,``,`1688629732.5202565`
`4M6HPDAIR3GIDAJCSQGPPO7TS8`,`materialization_view_snowflake`,`Macro`,`2023-08-01-17-23-18`,`2023-08-01-17-23-18`,`99991231000000`,`4M6HPDAIR3GIDAJCSQGPPO7TS8`,`1`,`I`,`materialization_view_snowflake`,`macro`,`macro.dbt_snowflake.materialization_view_snowflake`,`dbt_snowflake`,`C:\\Users\\LENOVO\\Desktop\\coalesce\\building-dbt-coalasce\\dbt-output\\env-dbt\\lib\\site-packages\\dbt\\include\\snowflake`,`macros\\materializations\\view.sql`,`macros\\materializations\\view.sql`,``,`"{}"`,`"{"show":true}"`,``,`1688629732.5202565`
`72SMD25AL238EBVJANN8U99ODR`,`get_columns_in_relation`,`Macro`,`2023-08-01-17-23-18`,`2023-08-01-17-23-18`,`99991231000000`,`72SMD25AL238EBVJANN8U99ODR`,`1`,`I`,`get_columns_in_relation`,`macro`,`macro.dbt.get_columns_in_relation`,`dbt`,`C:\\Users\\LENOVO\\Desktop\\coalesce\\building-dbt-coalasce\\dbt-output\\env-dbt\\lib\\site-packages\\dbt\\include\\global_project`,`macros\\adapters\\columns.sql`,`macros\\adapters\\columns.sql`,``,`"{}"`,`"{"show":true}"`,``,`1688629732.5202565`
`BLR9UI7H8FV7HK5LNDD24ITDM`,`default__get_columns_in_relation`,`Macro`,`2023-08-01-17-23-18`,`2023-08-01-17-23-18`,`99991231000000`,`BLR9UI7H8FV7HK5LNDD24ITDM`,`1`,`I`,`default__get_columns_in_relation`,`macro`,`macro.dbt.default__get_columns_in_relation`,`dbt`,`C:\\Users\\LENOVO\\Desktop\\coalesce\\building-dbt-coalasce\\dbt-output\\env-dbt\\lib\\site-packages\\dbt\\include\\global_project`,`macros\\adapters\\columns.sql`,`macros\\adapters\\columns.sql`,``,`"{}"`,`"{"show":true}"`,``,`1688629732.5202565`
`5JKIFF6LAEK3ABUAC1LK7HIPVN`,`sql_convert_columns_in_relation`,`Macro`,`2023-08-01-17-23-18`,`2023-08-01-17-23-18`,`99991231000000`,`5JKIFF6LAEK3ABUAC1LK7HIPVN`,`1`,`I`,`sql_convert_columns_in_relation`,`macro`,`macro.dbt.sql_convert_columns_in_relation`,`dbt`,`C:\\Users\\LENOVO\\Desktop\\coalesce\\building-dbt-coalasce\\dbt-output\\env-dbt\\lib\\site-packages\\dbt\\include\\global_project`,`macros\\adapters\\columns.sql`,`macros\\adapters\\columns.sql`,``,`"{}"`,`"{"show":true}"`,``,`1688629732.5202565`
