SRC_Entity_ID;SRC_Entity_HashKey;SRC_Entity_Type;TGT_Enity_ID;TGT_Entity_Type;TGT_Entity_HASKEY;Entity_Relationship_Type;CreateTimeStamp;EFFDT;TERMDT;HashKey;Version;Status
Snowflake~DEFAULT~DEFAULT~CTE-CUSTOMERS-1~16_2~LAST_NAME;2PGAHH00L3R1JBICMK990JDKEG;Column;Snowflake~DEFAULT~DEFAULT~RS-4~62~last_name;Column;1TM0OVFGCD0UMO55G21UBO6C5;Column_CONNECT_TO_Column;20230801172336;20230801172336;99991231000000;42L1IGLGHJEDKNAV9MT1SIHNEK;1;I
Snowflake~DEFAULT~DEFAULT~CTE-CUSTOMER_ORDERS-1~54~first_order_date;1FGPPONSJACMRFEOHUP0B0B0LO;Column;Snowflake~DEFAULT~DEFAULT~RS-4~63~first_order_date;Column;5ILJKO7CQG5VS9A8H5UOH3B9BO;Column_CONNECT_TO_Column;20230801172336;20230801172336;99991231000000;2FSO2DI1HOALM0R7JPH9ASBKA4;1;I
Snowflake~DEFAULT~DEFAULT~CTE-CUSTOMER_ORDERS-1~55~most_recent_order_date;63T1HV4MV2297LDIKQ3L8U4KP4;Column;Snowflake~DEFAULT~DEFAULT~RS-4~64~most_recent_order_date;Column;3S3PO94PE191K4H3N0D0HF7H9G;Column_CONNECT_TO_Column;20230801172336;20230801172336;99991231000000;3182052432U4GM1P1MUC52BJHH;1;I
Snowflake~DEFAULT~DEFAULT~CTE-CUSTOMER_ORDERS-1~57~lifetime_value;59MKQ7C4GIC34MFBPTJG9SFSP4;Column;Snowflake~DEFAULT~DEFAULT~RS-4~65~lifetime_value;Column;46DNQ90HA6RA9650E1US872SQE;Column_CONNECT_TO_Column;20230801172336;20230801172336;99991231000000;103LBIOHOOFB5D4L7N53SNR8B5;1;I
Snowflake~DEFAULT~DEFAULT~COALESCE~69~coalesce;7IDEHCLFPLPNFR4SAPJOFPB2LA;Column;Snowflake~DEFAULT~DEFAULT~RS-4~66~number_of_orders;Column;543LVS9P6P1ORC2JVGNBS1P54A;Column_CONNECT_TO_Column;20230801172336;20230801172336;99991231000000;KB3EDRVQ2294U4FI04DT5V6IB;1;I
Snowflake~DEFAULT~DEFAULT~CTE-CUSTOMER_ORDERS-1~56~number_of_orders;1U6MVRTRDBPFDUJ2P7TI5KART0;Column;Snowflake~DEFAULT~DEFAULT~COALESCE~69~coalesce;Column;7IDEHCLFPLPNFR4SAPJOFPB2LA;Column_CONNECT_TO_Column;20230801172336;20230801172336;99991231000000;1EUQ420MN0C9C92RK32NPSJF1H;1;I
Snowflake~DEFAULT~DEFAULT~RS-4~60~customer_id;581QCL109IFN4KCQ9OH7P323B5;Column;Snowflake~DEFAULT~DEFAULT~CTE-FINAL-1~71~customer_id;Column;1OTR7NMBE4USFHP1JMG7AQDOU6;Column_CONNECT_TO_Column;20230801172336;20230801172336;99991231000000;94PU81089D94F6I6Q9PAABNC6;1;I
Snowflake~DEFAULT~DEFAULT~RS-4~61~first_name;2QSRGB8VUJ8GND57UDBI6IAEU8;Column;Snowflake~DEFAULT~DEFAULT~CTE-FINAL-1~72~first_name;Column;5PF0VMAMKH73FLF9L8SSK8QHFM;Column_CONNECT_TO_Column;20230801172336;20230801172336;99991231000000;12LT2MIF7FUJ14RMGV9A33ALAA;1;I
Snowflake~DEFAULT~DEFAULT~RS-4~62~last_name;1TM0OVFGCD0UMO55G21UBO6C5;Column;Snowflake~DEFAULT~DEFAULT~CTE-FINAL-1~73~last_name;Column;F7LHFQOOF91HACITR4H7KD4D4;Column_CONNECT_TO_Column;20230801172336;20230801172336;99991231000000;7L0RBPMU2ENKTABCNT0NN4BSAQ;1;I
Snowflake~ANALYTICS~DBT_GGITHIRI~FCT_ORDERS;16GAHFER336GTNT752TRIN3QCP;Table;Snowflake~ANALYTICS~DBT_GGITHIRI~FCT_ORDERS~32~*;Column;PO7N774GOJPB2J84Q6EC5U8ER;Table_HAS_Column;20230801172336;20230801172336;99991231000000;2ING3BRSDPHCJAV3MICCTDVE8T;1;I
Snowflake~ANALYTICS~DBT_GGITHIRI~FCT_ORDERS;16GAHFER336GTNT752TRIN3QCP;Table;Snowflake~ANALYTICS~DBT_GGITHIRI~FCT_ORDERS~28~amount;Column;3RVOCMQ2NJC6MJAM47GIMMDKQ2;Table_HAS_Column;20230801172336;20230801172336;99991231000000;4IMQDSQKRLNCIHD0UTBJFRI6P8;1;I
Snowflake~ANALYTICS~DBT_GGITHIRI~FCT_ORDERS;16GAHFER336GTNT752TRIN3QCP;Table;Snowflake~ANALYTICS~DBT_GGITHIRI~FCT_ORDERS~25~customer_id;Column;5F075UOUC98T1818AMP199BGNC;Table_HAS_Column;20230801172336;20230801172336;99991231000000;3IRGAL5RPORDTK72V5HEVELKHC;1;I
Snowflake~ANALYTICS~DBT_GGITHIRI~FCT_ORDERS;16GAHFER336GTNT752TRIN3QCP;Table;Snowflake~ANALYTICS~DBT_GGITHIRI~FCT_ORDERS~26~order_date;Column;4D7LVUF54EMFVH1HGJIKLH7HM0;Table_HAS_Column;20230801172336;20230801172336;99991231000000;4AF2FPCUH2ATPOTCQ4AGGFAH06;1;I
Snowflake~ANALYTICS~DBT_GGITHIRI~FCT_ORDERS;16GAHFER336GTNT752TRIN3QCP;Table;Snowflake~ANALYTICS~DBT_GGITHIRI~FCT_ORDERS~27~order_id;Column;4RTBMNOHC6GOV31Q6M8VSHSD17;Table_HAS_Column;20230801172336;20230801172336;99991231000000;7MPF0HNSBI30VL58I9K68O72O5;1;I
Snowflake~ANALYTICS~DBT_GGITHIRI~STG_CUSTOMERS;6OO5MJA44V1G0C6AJSB51I4SL8;Table;Snowflake~ANALYTICS~DBT_GGITHIRI~STG_CUSTOMERS~15~*;Column;2K8D5MQEPCLC979L9RPCNPS8GJ;Table_HAS_Column;20230801172336;20230801172336;99991231000000;6HVV2LNEILT9FICJBQAIQ5LAOE;1;I
Snowflake~ANALYTICS~DBT_GGITHIRI~STG_CUSTOMERS;6OO5MJA44V1G0C6AJSB51I4SL8;Table;Snowflake~ANALYTICS~DBT_GGITHIRI~STG_CUSTOMERS~9~customer_id;Column;57UPAVRUGC6A428091D35ILQ3O;Table_HAS_Column;20230801172336;20230801172336;99991231000000;74RC2996GO131VEUT1JVHVQA0C;1;I
Snowflake~ANALYTICS~DBT_GGITHIRI~STG_CUSTOMERS;6OO5MJA44V1G0C6AJSB51I4SL8;Table;Snowflake~ANALYTICS~DBT_GGITHIRI~STG_CUSTOMERS~10~first_name;Column;2C6S0Q9SLIVLSKRKR6HA1SBSCV;Table_HAS_Column;20230801172336;20230801172336;99991231000000;77EOO58M3IGNI78G8CNQNFSBE0;1;I
Snowflake~ANALYTICS~DBT_GGITHIRI~STG_CUSTOMERS;6OO5MJA44V1G0C6AJSB51I4SL8;Table;Snowflake~ANALYTICS~DBT_GGITHIRI~STG_CUSTOMERS~11~last_name;Column;6JIJ09I6AH0QO5RU906O5GM5VS;Table_HAS_Column;20230801172336;20230801172336;99991231000000;5FB8BVAE0JK0MFHB1AG66Q6JL8;1;I
Snowflake~DEFAULT~DEFAULT~CTE-CUSTOMERS-1;75AD4GSDM4D6O258CT9FG1MU8E;With_cte;Snowflake~DEFAULT~DEFAULT~CTE-CUSTOMERS-1~16~*;Column;9F0QUKT7H6D3F87H4QNJLQKJ7;With_cte_HAS_Column;20230801172336;20230801172336;99991231000000;Q1G2DAQQC857F8CKEJ4QGO6I6;1;I
