Entity_ID;Entity_Name;Entity_Type;Entity_Parent_Name;Entity_Parent_Type;Label;CreateTimeStamp;EFFDT;TERMDT;HashKey;Version;Status
Snowflake~ANALYTICS~DBT_GGITHIRI~STG_PAYMENTS;stg_payments;Table;DBT_GGITHIRI;Schema;Table;20230801172340;20230801172340;99991231000000;7JM8O7SKFJIHFCRP7AV24ESSQR;1;I
Snowflake~DEFAULT~DEFAULT~CTE-FINAL-1;CTE-FINAL-1;With_cte;DEFAULT;Schema;With_cte;20230801172340;20230801172340;99991231000000;5OQGSS0QEPKO2IOCQOK8VUVEB;1;I
Snowflake~DEFAULT~DEFAULT~CTE-ORDERS-1;CTE-ORDERS-1;With_cte;DEFAULT;Schema;With_cte;20230801172340;20230801172340;99991231000000;39QBLHGLOSORL2TAQ7DLUU81F8;1;I
Snowflake~DEFAULT~DEFAULT~CTE-ORDER_PAYMENTS-1;CTE-ORDER_PAYMENTS-1;With_cte;DEFAULT;Schema;With_cte;20230801172340;20230801172340;99991231000000;20JF8QI4MEQJ9MJ86MCFO05C25;1;I
Snowflake~DEFAULT~DEFAULT~CTE-PAYMENTS-1;CTE-PAYMENTS-1;With_cte;DEFAULT;Schema;With_cte;20230801172340;20230801172340;99991231000000;JMIF9IHQ5966DOKT2JBA2UBT8;1;I
Snowflake~DEFAULT~DEFAULT~RS-1;RS-1;Select_list;DEFAULT;Schema;Select_list;20230801172340;20230801172340;99991231000000;5S7MO4JV3DH1C1VDKCUHGHD2GP;1;I
Snowflake~DEFAULT~DEFAULT~RS-2;RS-2;Select_list;DEFAULT;Schema;Select_list;20230801172340;20230801172340;99991231000000;2UFNO0IIS23283KC5MDI9RRT3Q;1;I
Snowflake~DEFAULT~DEFAULT~RS-3;RS-3;Select_list;DEFAULT;Schema;Select_list;20230801172340;20230801172340;99991231000000;2MG4KALOMJVPIVI3BB67QP73CJ;1;I
Snowflake~DEFAULT~DEFAULT~RS-4;RS-4;Select_list;DEFAULT;Schema;Select_list;20230801172340;20230801172340;99991231000000;4TS64US8HOGTUBAU0VN7P9E5PC;1;I
Snowflake~DEFAULT~DEFAULT~RS-5;RS-5;Select_list;DEFAULT;Schema;Select_list;20230801172340;20230801172340;99991231000000;7ORITKE87CT17ECSU99IQ2KII;1;I
Snowflake~DEFAULT~DEFAULT~CASE-WHEN;case-when;Function;DEFAULT;Schema;Function;20230801172340;20230801172340;99991231000000;6DJ5RJRBLDEURM05Q9UC14SL2A;1;I
Snowflake~DEFAULT~DEFAULT~COALESCE;coalesce;Function;DEFAULT;Schema;Function;20230801172340;20230801172340;99991231000000;6G2NBASI16M64VPIL93BUVUVMN;1;I
Snowflake~DEFAULT~DEFAULT~SUM;sum;Function;DEFAULT;Schema;Function;20230801172340;20230801172340;99991231000000;2I6JF92HSLT1BTFS5477LAJLOG;1;I
Snowflake~ANALYTICS~DBT_GGITHIRI~STG_ORDERS~15~*;*;Column;stg_orders;Table;Column;20230801172340;20230801172340;99991231000000;6QD07BDGMTIA3PD677EL9FE8AG;1;I
Snowflake~ANALYTICS~DBT_GGITHIRI~STG_ORDERS~10~customer_id;customer_id;Column;stg_orders;Table;Column;20230801172340;20230801172340;99991231000000;5I16H4G6LT8QOP7CESOJ2LT0KC;1;I
Snowflake~ANALYTICS~DBT_GGITHIRI~STG_ORDERS~11~order_date;order_date;Column;stg_orders;Table;Column;20230801172340;20230801172340;99991231000000;38JJOSEQD6FESFBBGUA0L1F83R;1;I
Snowflake~ANALYTICS~DBT_GGITHIRI~STG_ORDERS~9~order_id;order_id;Column;stg_orders;Table;Column;20230801172340;20230801172340;99991231000000;76HBRKNBGS5832OB82LSSJKPKJ;1;I
Snowflake~ANALYTICS~DBT_GGITHIRI~STG_PAYMENTS~31~*;*;Column;stg_payments;Table;Column;20230801172340;20230801172340;99991231000000;1DM3DM9P1AIB7M77O3BLACGJIU;1;I
Snowflake~ANALYTICS~DBT_GGITHIRI~STG_PAYMENTS~27~amount;amount;Column;stg_payments;Table;Column;20230801172340;20230801172340;99991231000000;JMEJQISNS3MKLLB3S8VJQQN5V;1;I
Snowflake~ANALYTICS~DBT_GGITHIRI~STG_PAYMENTS~25~order_id;order_id;Column;stg_payments;Table;Column;20230801172340;20230801172340;99991231000000;4M4TBNNN0NG1FO5CJP3UTUF7A2;1;I
Snowflake~ANALYTICS~DBT_GGITHIRI~STG_PAYMENTS~26~status;status;Column;stg_payments;Table;Column;20230801172340;20230801172340;99991231000000;1TK90LHSUGQ2U3G3QI6M984J0Q;1;I
Snowflake~DEFAULT~DEFAULT~CTE-FINAL-1~1~RelationRows;RelationRows;Column;CTE-FINAL-1;With_cte;Column;20230801172340;20230801172340;99991231000000;5OHQ1KS5I1MF0RNA2HKA3KD15M;1;I
