Entity_ID;HashKey;EntityHashKey;Attribute;Value;CreateTimeStamp;EFFDT;TERMDT;Version;Status
Snowflake~DEFAULT~DEFAULT~CTE-ORDERS-1~33_1~ORDER_DATE;11G2B5PPGJA3GG07RKFPOLF2MP;3J6QBS1N2TA4EDLPTG59PKNFAN;coordinate;[{"hashCode":"0","x":6,"y":12},{"hashCode":"0","x":6,"y":13}];20230801172336;20230801172336;99991231000000;1;I
Snowflake~DEFAULT~DEFAULT~CTE-ORDERS-1~33_2~ORDER_ID;V7HRLHCSHD27J6ERTU5EJ5UR3;71NLVB2O5VDNTQU67HR3D7AGO2;coordinate;[{"hashCode":"0","x":6,"y":12},{"hashCode":"0","x":6,"y":13}];20230801172336;20230801172336;99991231000000;1;I
Snowflake~DEFAULT~DEFAULT~CTE-ORDERS-1~19~RelationRows;OHMOKCT0UFNQTHGQAPBMUSCBC;3DB32S22717BNASV8MQEL7JNSE;coordinate;[{"hashCode":"0","x":16,"y":10},{"hashCode":"0","x":16,"y":16}];20230801172336;20230801172336;99991231000000;1;I
Snowflake~DEFAULT~DEFAULT~RS-1~14~*;7ONB98FBLSR82SOUHJIBU1VRDN;4NNFSUNSI94T7ETIKKR0FFCPKN;coordinate;[{"hashCode":"0","x":2,"y":12},{"hashCode":"0","x":2,"y":13}];20230801172336;20230801172336;99991231000000;1;I
Snowflake~DEFAULT~DEFAULT~RS-1~14_1~FIRST_NAME;2BCI8GHU65PDJ2KR7IF18C3RH2;1EPKUSPMRRBJJEJ87P8ET83HPT;coordinate;[{"hashCode":"0","x":2,"y":12},{"hashCode":"0","x":2,"y":13}];20230801172336;20230801172336;99991231000000;1;I
Snowflake~DEFAULT~DEFAULT~RS-1~14_2~LAST_NAME;3K86PPL8OU4C21E05KH5V3ON9;6M16DAU5149QM8HS2TR9QVEN7I;coordinate;[{"hashCode":"0","x":2,"y":12},{"hashCode":"0","x":2,"y":13}];20230801172336;20230801172336;99991231000000;1;I
Snowflake~DEFAULT~DEFAULT~RS-1~87~customer_id;46LTQ30PGG018QPRPHCTSGD5TE;65HQUN3LPK36F5TFS1OD9AC4M2;coordinate;[{"hashCode":"0","x":22,"y":9},{"hashCode":"0","x":22,"y":30}];20230801172336;20230801172336;99991231000000;1;I
Snowflake~DEFAULT~DEFAULT~RS-2~31~*;7HQF6AK855H3OOG5JCCMR329RJ;3ALPATRST0K36PBGG58Q9RTE3R;coordinate;[{"hashCode":"0","x":6,"y":12},{"hashCode":"0","x":6,"y":13}];20230801172336;20230801172336;99991231000000;1;I
Snowflake~DEFAULT~DEFAULT~RS-2~31_3~AMOUNT;3C9KIGH5RT6QKRNAV2JDAL4DTP;7KP7S7RERMVESN72PE4LSRTITK;coordinate;[{"hashCode":"0","x":6,"y":12},{"hashCode":"0","x":6,"y":13}];20230801172336;20230801172336;99991231000000;1;I
Snowflake~DEFAULT~DEFAULT~RS-2~31_0~CUSTOMER_ID;68BNUQ9PEHA0S4UFF704ACB41F;6O7HU25H2DPOO9QHPQ29MKTRJI;coordinate;[{"hashCode":"0","x":6,"y":12},{"hashCode":"0","x":6,"y":13}];20230801172336;20230801172336;99991231000000;1;I
Snowflake~DEFAULT~DEFAULT~RS-2~31_1~ORDER_DATE;7K0UEUNOPHPMJCMAOHM4H4AKVH;2EDQKDOISGUPV0M70GSBB5NN8D;coordinate;[{"hashCode":"0","x":6,"y":12},{"hashCode":"0","x":6,"y":13}];20230801172336;20230801172336;99991231000000;1;I
Snowflake~DEFAULT~DEFAULT~RS-2~31_2~ORDER_ID;UJ0V08U8EI7BL6CA82TJG0E7;1H180C02MFV0D5HQL2PMHRTU6C;coordinate;[{"hashCode":"0","x":6,"y":12},{"hashCode":"0","x":6,"y":13}];20230801172336;20230801172336;99991231000000;1;I
