:START_ID,:END_ID,:TYPE,CreateTimeStamp,EFFDT,TERMDT,Version,Status
6RTVMKJH6F191I15E6J5ARVUOF,7DU51P0TD87927VE5M63ESJI6U,uses_system,2023-08-01-17-23-17,2023-08-01-17-23-17,99991231000000,1,I
7DU51P0TD87927VE5M63ESJI6U,M1DQ9IN95AN7LIVS5AQJRVSC8,contains_database,2023-08-01-17-23-17,2023-08-01-17-23-17,99991231000000,1,I
M1DQ9IN95AN7LIVS5AQJRVSC8,6OJ1RV0RECF7TMUI7K8HU8UG0K,has,2023-08-01-17-23-17,2023-08-01-17-23-17,99991231000000,1,I
6OJ1RV0RECF7TMUI7K8HU8UG0K,56H6QM8NU76PSPL9F673K10N5Q,contains,2023-08-01-17-23-17,2023-08-01-17-23-17,99991231000000,1,I
36K9CE52LQ5G42THF8UOHBQNH,4INDJ0QBEFHO6TPVFNN8LOP2DV,depends_on_model,2023-08-01-17-23-17,2023-08-01-17-23-17,99991231000000,1,I
C0MJK8NVJRKEO6S412KHOAFR4,6RTVMKJH6F191I15E6J5ARVUOF,contains,2023-08-01-17-23-18,2023-08-01-17-23-18,99991231000000,1,I
6RTVMKJH6F191I15E6J5ARVUOF,6AS07UG5K7RJTHHVQLITS4STV4,contains_test,2023-08-01-17-23-18,2023-08-01-17-23-18,99991231000000,1,I
6RTVMKJH6F191I15E6J5ARVUOF,7DU51P0TD87927VE5M63ESJI6U,uses_system,2023-08-01-17-23-18,2023-08-01-17-23-18,99991231000000,1,I
7DU51P0TD87927VE5M63ESJI6U,M1DQ9IN95AN7LIVS5AQJRVSC8,contains_database,2023-08-01-17-23-18,2023-08-01-17-23-18,99991231000000,1,I
M1DQ9IN95AN7LIVS5AQJRVSC8,V17EVCQU7NPLGQL8D7UTMU99C,has,2023-08-01-17-23-18,2023-08-01-17-23-18,99991231000000,1,I
6RTVMKJH6F191I15E6J5ARVUOF,19J7JV0O54NSSI2TGQD5MLCHKA,contains_test,2023-08-01-17-23-18,2023-08-01-17-23-18,99991231000000,1,I
6RTVMKJH6F191I15E6J5ARVUOF,7FSUULKNKDI7N9BP40T8PM2P98,contains_test,2023-08-01-17-23-18,2023-08-01-17-23-18,99991231000000,1,I
6RTVMKJH6F191I15E6J5ARVUOF,2E98TOATVTDG0K679GMVLC1G8,contains_test,2023-08-01-17-23-18,2023-08-01-17-23-18,99991231000000,1,I
6RTVMKJH6F191I15E6J5ARVUOF,7DQGFF3TI7CSS9MDCMFN02S485,contains_test,2023-08-01-17-23-18,2023-08-01-17-23-18,99991231000000,1,I
6RTVMKJH6F191I15E6J5ARVUOF,71809V0KHV5RNSTDV66CM5BDDM,contains_test,2023-08-01-17-23-18,2023-08-01-17-23-18,99991231000000,1,I
6RTVMKJH6F191I15E6J5ARVUOF,43QEQT4I1QKTT9HMSN2EV8HH4Q,contains_test,2023-08-01-17-23-18,2023-08-01-17-23-18,99991231000000,1,I
6RTVMKJH6F191I15E6J5ARVUOF,6ASP7EALL2G5V8V99PBEV21L8O,contains_test,2023-08-01-17-23-18,2023-08-01-17-23-18,99991231000000,1,I
6RTVMKJH6F191I15E6J5ARVUOF,3OR9I6PATB2F132B5F7S13BV9N,contains_test,2023-08-01-17-23-18,2023-08-01-17-23-18,99991231000000,1,I
6RTVMKJH6F191I15E6J5ARVUOF,4O3TV2BACGGL894TAC5FOG9ALD,contains_test,2023-08-01-17-23-18,2023-08-01-17-23-18,99991231000000,1,I
6RTVMKJH6F191I15E6J5ARVUOF,5VSOO57EMDNITFH9NDT7QMLP69,contains_test,2023-08-01-17-23-18,2023-08-01-17-23-18,99991231000000,1,I
6RTVMKJH6F191I15E6J5ARVUOF,6QF12J43IR2KUGTVCUAES6U01I,contains_test,2023-08-01-17-23-18,2023-08-01-17-23-18,99991231000000,1,I
6RTVMKJH6F191I15E6J5ARVUOF,529BMR8V8J9NFUCKHUBN11A2EJ,contains_test,2023-08-01-17-23-18,2023-08-01-17-23-18,99991231000000,1,I
6RTVMKJH6F191I15E6J5ARVUOF,68H9SH1H3FDANT1GC7BLMSG9SF,contains_test,2023-08-01-17-23-18,2023-08-01-17-23-18,99991231000000,1,I
6RTVMKJH6F191I15E6J5ARVUOF,3U0Q3KF9TL35H9P2JLK4GNFJEV,contains_test,2023-08-01-17-23-18,2023-08-01-17-23-18,99991231000000,1,I
6RTVMKJH6F191I15E6J5ARVUOF,5V83F0AHAUPQA0K2CMKL95TTH4,contains_test,2023-08-01-17-23-18,2023-08-01-17-23-18,99991231000000,1,I
6RTVMKJH6F191I15E6J5ARVUOF,59IE2KQF570O3B3E9UNM9HGSC7,contains_test,2023-08-01-17-23-18,2023-08-01-17-23-18,99991231000000,1,I
6RTVMKJH6F191I15E6J5ARVUOF,7EN23GQGI3U20BLB73S3T2SBDJ,contains_test,2023-08-01-17-23-18,2023-08-01-17-23-18,99991231000000,1,I
6RTVMKJH6F191I15E6J5ARVUOF,7045EVEINRHC01HLAJP7UMKQJR,contains_test,2023-08-01-17-23-18,2023-08-01-17-23-18,99991231000000,1,I
6AS07UG5K7RJTHHVQLITS4STV4,4INDJ0QBEFHO6TPVFNN8LOP2DV,test_on_model,2023-08-01-17-23-18,2023-08-01-17-23-18,99991231000000,1,I
19J7JV0O54NSSI2TGQD5MLCHKA,27FELAFQ7V94G01VKBKLLRID90,test_on_model,2023-08-01-17-23-18,2023-08-01-17-23-18,99991231000000,1,I
7FSUULKNKDI7N9BP40T8PM2P98,27FELAFQ7V94G01VKBKLLRID90,test_on_model,2023-08-01-17-23-18,2023-08-01-17-23-18,99991231000000,1,I
2E98TOATVTDG0K679GMVLC1G8,P4GBV2JNUIHEM2AOPKKQ6U92V,test_on_model,2023-08-01-17-23-18,2023-08-01-17-23-18,99991231000000,1,I
7DQGFF3TI7CSS9MDCMFN02S485,P4GBV2JNUIHEM2AOPKKQ6U92V,test_on_model,2023-08-01-17-23-18,2023-08-01-17-23-18,99991231000000,1,I
71809V0KHV5RNSTDV66CM5BDDM,2VR41GJS6B9GC9JMR4NF2IQUO1,test_on_model,2023-08-01-17-23-18,2023-08-01-17-23-18,99991231000000,1,I
43QEQT4I1QKTT9HMSN2EV8HH4Q,2VR41GJS6B9GC9JMR4NF2IQUO1,test_on_model,2023-08-01-17-23-18,2023-08-01-17-23-18,99991231000000,1,I
6ASP7EALL2G5V8V99PBEV21L8O,29DUOSU1TLLFKGOP1FIP7SUO3F,test_on_model,2023-08-01-17-23-18,2023-08-01-17-23-18,99991231000000,1,I
3OR9I6PATB2F132B5F7S13BV9N,29DUOSU1TLLFKGOP1FIP7SUO3F,test_on_model,2023-08-01-17-23-18,2023-08-01-17-23-18,99991231000000,1,I
4O3TV2BACGGL894TAC5FOG9ALD,6JFC2FOECLOK541THTSG9T5JGR,test_on_model,2023-08-01-17-23-18,2023-08-01-17-23-18,99991231000000,1,I
5VSOO57EMDNITFH9NDT7QMLP69,6JFC2FOECLOK541THTSG9T5JGR,test_on_model,2023-08-01-17-23-18,2023-08-01-17-23-18,99991231000000,1,I
6QF12J43IR2KUGTVCUAES6U01I,6JFC2FOECLOK541THTSG9T5JGR,test_on_model,2023-08-01-17-23-18,2023-08-01-17-23-18,99991231000000,1,I
529BMR8V8J9NFUCKHUBN11A2EJ,29DUOSU1TLLFKGOP1FIP7SUO3F,test_on_model,2023-08-01-17-23-18,2023-08-01-17-23-18,99991231000000,1,I
529BMR8V8J9NFUCKHUBN11A2EJ,6JFC2FOECLOK541THTSG9T5JGR,test_on_model,2023-08-01-17-23-18,2023-08-01-17-23-18,99991231000000,1,I
68H9SH1H3FDANT1GC7BLMSG9SF,4INDJ0QBEFHO6TPVFNN8LOP2DV,test_on_model,2023-08-01-17-23-18,2023-08-01-17-23-18,99991231000000,1,I
3U0Q3KF9TL35H9P2JLK4GNFJEV,4INDJ0QBEFHO6TPVFNN8LOP2DV,test_on_model,2023-08-01-17-23-18,2023-08-01-17-23-18,99991231000000,1,I
5V83F0AHAUPQA0K2CMKL95TTH4,1KVTMDMCISIOUEODJSK1MPKJF0,test_on_model,2023-08-01-17-23-18,2023-08-01-17-23-18,99991231000000,1,I
59IE2KQF570O3B3E9UNM9HGSC7,1KVTMDMCISIOUEODJSK1MPKJF0,test_on_model,2023-08-01-17-23-18,2023-08-01-17-23-18,99991231000000,1,I
7EN23GQGI3U20BLB73S3T2SBDJ,108HJIIT49F5L45VOQ8QA47PL5,test_on_model,2023-08-01-17-23-18,2023-08-01-17-23-18,99991231000000,1,I
7045EVEINRHC01HLAJP7UMKQJR,108HJIIT49F5L45VOQ8QA47PL5,test_on_model,2023-08-01-17-23-18,2023-08-01-17-23-18,99991231000000,1,I
19J7JV0O54NSSI2TGQD5MLCHKA,346S9SEBRQKALU0J84R756GDC3,depends_on_macro,2023-08-01-17-23-18,2023-08-01-17-23-18,99991231000000,1,I
7FSUULKNKDI7N9BP40T8PM2P98,726A2LA5JTBE6MROSVH75HJJ88,depends_on_macro,2023-08-01-17-23-18,2023-08-01-17-23-18,99991231000000,1,I
2E98TOATVTDG0K679GMVLC1G8,346S9SEBRQKALU0J84R756GDC3,depends_on_macro,2023-08-01-17-23-18,2023-08-01-17-23-18,99991231000000,1,I
7DQGFF3TI7CSS9MDCMFN02S485,726A2LA5JTBE6MROSVH75HJJ88,depends_on_macro,2023-08-01-17-23-18,2023-08-01-17-23-18,99991231000000,1,I
71809V0KHV5RNSTDV66CM5BDDM,346S9SEBRQKALU0J84R756GDC3,depends_on_macro,2023-08-01-17-23-18,2023-08-01-17-23-18,99991231000000,1,I
43QEQT4I1QKTT9HMSN2EV8HH4Q,726A2LA5JTBE6MROSVH75HJJ88,depends_on_macro,2023-08-01-17-23-18,2023-08-01-17-23-18,99991231000000,1,I
6ASP7EALL2G5V8V99PBEV21L8O,346S9SEBRQKALU0J84R756GDC3,depends_on_macro,2023-08-01-17-23-18,2023-08-01-17-23-18,99991231000000,1,I
3OR9I6PATB2F132B5F7S13BV9N,726A2LA5JTBE6MROSVH75HJJ88,depends_on_macro,2023-08-01-17-23-18,2023-08-01-17-23-18,99991231000000,1,I
4O3TV2BACGGL894TAC5FOG9ALD,346S9SEBRQKALU0J84R756GDC3,depends_on_macro,2023-08-01-17-23-18,2023-08-01-17-23-18,99991231000000,1,I
5VSOO57EMDNITFH9NDT7QMLP69,726A2LA5JTBE6MROSVH75HJJ88,depends_on_macro,2023-08-01-17-23-18,2023-08-01-17-23-18,99991231000000,1,I
6QF12J43IR2KUGTVCUAES6U01I,3VQLCB45THCO9A9P01900ULIU1,depends_on_macro,2023-08-01-17-23-18,2023-08-01-17-23-18,99991231000000,1,I
6QF12J43IR2KUGTVCUAES6U01I,1K26FROIPRCN2EJJ5VET3HCSC4,depends_on_macro,2023-08-01-17-23-18,2023-08-01-17-23-18,99991231000000,1,I
529BMR8V8J9NFUCKHUBN11A2EJ,1E14ML85HIV642OBL1MI3LK6CK,depends_on_macro,2023-08-01-17-23-18,2023-08-01-17-23-18,99991231000000,1,I
529BMR8V8J9NFUCKHUBN11A2EJ,1K26FROIPRCN2EJJ5VET3HCSC4,depends_on_macro,2023-08-01-17-23-18,2023-08-01-17-23-18,99991231000000,1,I
68H9SH1H3FDANT1GC7BLMSG9SF,346S9SEBRQKALU0J84R756GDC3,depends_on_macro,2023-08-01-17-23-18,2023-08-01-17-23-18,99991231000000,1,I
3U0Q3KF9TL35H9P2JLK4GNFJEV,726A2LA5JTBE6MROSVH75HJJ88,depends_on_macro,2023-08-01-17-23-18,2023-08-01-17-23-18,99991231000000,1,I
5V83F0AHAUPQA0K2CMKL95TTH4,346S9SEBRQKALU0J84R756GDC3,depends_on_macro,2023-08-01-17-23-18,2023-08-01-17-23-18,99991231000000,1,I
59IE2KQF570O3B3E9UNM9HGSC7,726A2LA5JTBE6MROSVH75HJJ88,depends_on_macro,2023-08-01-17-23-18,2023-08-01-17-23-18,99991231000000,1,I
7EN23GQGI3U20BLB73S3T2SBDJ,346S9SEBRQKALU0J84R756GDC3,depends_on_macro,2023-08-01-17-23-18,2023-08-01-17-23-18,99991231000000,1,I
7045EVEINRHC01HLAJP7UMKQJR,726A2LA5JTBE6MROSVH75HJJ88,depends_on_macro,2023-08-01-17-23-18,2023-08-01-17-23-18,99991231000000,1,I
1GT2D7IA1JQC0MPB7E2ECNSGQ1,4HMKFLI4KAJ1EQ321KVGDDDU67,sources_from_table,2023-08-01-17-23-18,2023-08-01-17-23-18,99991231000000,1,I
4FT4BEVMP9TLRDG3NHP1SQCHQ3,1GAE08OP9UOM3A00OBMJG6OV7J,sources_from_table,2023-08-01-17-23-18,2023-08-01-17-23-18,99991231000000,1,I
47MQH7FMGDLF04NE0TH1UVB01G,649BELLVD7D5QJ6UCEBH7282S0,sources_from_table,2023-08-01-17-23-18,2023-08-01-17-23-18,99991231000000,1,I
6RTVMKJH6F191I15E6J5ARVUOF,1GT2D7IA1JQC0MPB7E2ECNSGQ1,contains_source,2023-08-01-17-23-18,2023-08-01-17-23-18,99991231000000,1,I
6RTVMKJH6F191I15E6J5ARVUOF,4FT4BEVMP9TLRDG3NHP1SQCHQ3,contains_source,2023-08-01-17-23-18,2023-08-01-17-23-18,99991231000000,1,I
6RTVMKJH6F191I15E6J5ARVUOF,47MQH7FMGDLF04NE0TH1UVB01G,contains_source,2023-08-01-17-23-18,2023-08-01-17-23-18,99991231000000,1,I
C0MJK8NVJRKEO6S412KHOAFR4,6RTVMKJH6F191I15E6J5ARVUOF,contains,2023-08-01-17-23-18,2023-08-01-17-23-18,99991231000000,1,I
6RTVMKJH6F191I15E6J5ARVUOF,7UKO86Q0DGFG6Q58C0UO313V18,contains_macro,2023-08-01-17-23-18,2023-08-01-17-23-18,99991231000000,1,I
7DU51P0TD87927VE5M63ESJI6U,12AE0D3AERPIKLEPIS6MK620HN,contains_database,2023-08-01-17-23-18,2023-08-01-17-23-18,99991231000000,1,I
6RTVMKJH6F191I15E6J5ARVUOF,6JTA9NCUM38HIV4I3G4ITTPL8C,contains_macro,2023-08-01-17-23-18,2023-08-01-17-23-18,99991231000000,1,I
6RTVMKJH6F191I15E6J5ARVUOF,17251QDLTSO0P2MLG9HMP3UMLC,contains_macro,2023-08-01-17-23-18,2023-08-01-17-23-18,99991231000000,1,I
6RTVMKJH6F191I15E6J5ARVUOF,2T0N9T497CD1BG50EH6MEEOC67,contains_macro,2023-08-01-17-23-18,2023-08-01-17-23-18,99991231000000,1,I
C0MJK8NVJRKEO6S412KHOAFR4,4K7USDU0UQG9S5Q2G1F7IDCLS3,contains,2023-08-01-17-23-18,2023-08-01-17-23-18,99991231000000,1,I
4K7USDU0UQG9S5Q2G1F7IDCLS3,6P0PLMSPTBF6SITU5IAUA1UC1P,contains_macro,2023-08-01-17-23-18,2023-08-01-17-23-18,99991231000000,1,I
4K7USDU0UQG9S5Q2G1F7IDCLS3,ETBVH16DNEVM816C9G2DFBDUB,contains_macro,2023-08-01-17-23-18,2023-08-01-17-23-18,99991231000000,1,I
4K7USDU0UQG9S5Q2G1F7IDCLS3,S944RVMUHH70J7O0Q6M42ICGC,contains_macro,2023-08-01-17-23-18,2023-08-01-17-23-18,99991231000000,1,I
4K7USDU0UQG9S5Q2G1F7IDCLS3,76A5FOBKAM0R13O0UJ7JTH879E,contains_macro,2023-08-01-17-23-18,2023-08-01-17-23-18,99991231000000,1,I
4K7USDU0UQG9S5Q2G1F7IDCLS3,73LIA7B84G2LK0QC836B2359FP,contains_macro,2023-08-01-17-23-18,2023-08-01-17-23-18,99991231000000,1,I
4K7USDU0UQG9S5Q2G1F7IDCLS3,3UA8UJLIS8SL5L58057DDUFCT,contains_macro,2023-08-01-17-23-18,2023-08-01-17-23-18,99991231000000,1,I
4K7USDU0UQG9S5Q2G1F7IDCLS3,KLMPD9G1828GTLUS2E2JMEILS,contains_macro,2023-08-01-17-23-18,2023-08-01-17-23-18,99991231000000,1,I
4K7USDU0UQG9S5Q2G1F7IDCLS3,72SC0H1ALG7VIHGHC0TM1G3PUE,contains_macro,2023-08-01-17-23-18,2023-08-01-17-23-18,99991231000000,1,I
4K7USDU0UQG9S5Q2G1F7IDCLS3,6E5BF2LVUJH417NSS3G1J7JEAG,contains_macro,2023-08-01-17-23-18,2023-08-01-17-23-18,99991231000000,1,I
4K7USDU0UQG9S5Q2G1F7IDCLS3,691VJHFCVV7ILV8JN9RMBMQCTG,contains_macro,2023-08-01-17-23-18,2023-08-01-17-23-18,99991231000000,1,I
4K7USDU0UQG9S5Q2G1F7IDCLS3,38R3B6FUG0037QQLVDJTLKRQ9B,contains_macro,2023-08-01-17-23-18,2023-08-01-17-23-18,99991231000000,1,I
4K7USDU0UQG9S5Q2G1F7IDCLS3,5KKBUC4K0N8BE1SMOJGR1DH5C3,contains_macro,2023-08-01-17-23-18,2023-08-01-17-23-18,99991231000000,1,I
4K7USDU0UQG9S5Q2G1F7IDCLS3,23JAQQS85U0I2079MLCU4RC8ML,contains_macro,2023-08-01-17-23-18,2023-08-01-17-23-18,99991231000000,1,I
4K7USDU0UQG9S5Q2G1F7IDCLS3,63ME8AT00QT9C70TVFJBLH5G6G,contains_macro,2023-08-01-17-23-18,2023-08-01-17-23-18,99991231000000,1,I
